[syn]	d0s	top	d0t
wn30instances:synset-Pauli_exclusion_principle-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Peace_Corps-noun-1	dul:Organization	wn30instances:synset-organization-noun-1	dul:Organization
wn30instances:synset-Phaeophyta-noun-1	dul:Organism	wn30instances:synset-division-noun-7	coll:Taxon
wn30instances:synset-Phycomycetes-noun-1	dul:Organism	wn30instances:synset-taxonomic_group-noun-1	coll:Taxon
wn30instances:synset-Pisces-noun-2	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Pisces-noun-4	dul:Organism	wn30instances:synset-division-noun-7	coll:Taxon
wn30instances:synset-Planck_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Planck_s_radiation_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Pteridospermae-noun-1	dul:Organism	wn30instances:synset-taxonomic_group-noun-1	coll:Taxon
wn30instances:synset-Rhodophyta-noun-1	dul:Organism	wn30instances:synset-division-noun-7	coll:Taxon
wn30instances:synset-Ruritania-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-S-shape-noun-1	d0:Characteristic	wn30instances:synset-curve-noun-1	dul:Quality
wn30instances:synset-Sagittarius-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Schizophyta-noun-1	dul:Organism	wn30instances:synset-division-noun-7	coll:Taxon
wn30instances:synset-Scorpio-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Sertoli_cell-noun-1	dul:PhysicalObject	wn30instances:synset-cell-noun-2	dul:BiologicalObject
wn30instances:synset-Shinto-noun-2	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-Sikhism-noun-1	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-Sind-noun-1	d0:Location	wn30instances:synset-region-noun-1	dul:PhysicalPlace
wn30instances:synset-Slav-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-South_America-noun-2	dul:Collection	wn30instances:synset-collection-noun-1	dul:Collection
wn30instances:synset-Stevens__law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-T-junction-noun-1	d0:Location	wn30instances:synset-junction-noun-1	<http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace>
wn30instances:synset-Tajik-noun-3	dul:Collection	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Tammany_Hall-noun-1	dul:Organization	wn30instances:synset-organization-noun-1	dul:Organization
wn30instances:synset-Taoism-noun-3	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-Taurus-noun-2	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Third_World-noun-1	dul:Collection	wn30instances:synset-collection-noun-1	dul:Collection
wn30instances:synset-Transfiguration-noun-2	d0:Event	wn30instances:synset-miracle-noun-2	dul:EventType
wn30instances:synset-Tribes_of_Israel-noun-1	dul:Collection	wn30instances:synset-kin-noun-2	coll:GeneticCollection
wn30instances:synset-Utopia-noun-4	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Velcro-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-Victorian-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Virgo-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Viyella-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-Walloons-noun-1	dul:Collection	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Weber_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-White-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Wicca-noun-2	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-Zamboni-noun-1	dul:PhysicalObject	wn30instances:synset-machine-noun-1	dul:PhysicalAgent
wn30instances:synset-Zionism-noun-2	dul:Collection	wn30instances:synset-movement-noun-4	dul:Collective
wn30instances:synset-Zoroastrianism-noun-1	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-aba-noun-2	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-abator-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-abdomen-noun-1	dul:PhysicalObject	wn30instances:synset-body_part-noun-1	dul:BiologicalObject
wn30instances:synset-aberrance-noun-1	dul:Situation	wn30instances:synset-abnormality-noun-1	dul:Situation
wn30instances:synset-abeyance-noun-1	dul:Situation	wn30instances:synset-inaction-noun-1	dul:Situation
wn30instances:synset-abidance-noun-3	d0:Event	wn30instances:synset-continuance-noun-1	dul:EventType
wn30instances:synset-ability-noun-1	d0:Characteristic	wn30instances:synset-quality-noun-1	dul:Quality
wn30instances:synset-abjurer-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-abocclusion-noun-1	dul:Situation	wn30instances:synset-disorder-noun-1	dul:Situation
wn30instances:synset-abomination-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-abortifacient-noun-1	dul:PhysicalObject	wn30instances:synset-drug-noun-1	dul:FunctionalSubstance
wn30instances:synset-about-face-noun-2	dul:Situation	wn30instances:synset-change-noun-3	dul:Situation
wn30instances:synset-abrachia-noun-1	dul:Situation	wn30instances:synset-abnormality-noun-1	dul:Situation
wn30instances:synset-abrasive-noun-1	dul:PhysicalObject	wn30instances:synset-material-noun-1	dul:FunctionalSubstance
wn30instances:synset-abruptio_placentae-noun-1	dul:Situation	wn30instances:synset-disorder-noun-1	dul:Situation
wn30instances:synset-absence-noun-3	dul:TimeInterval	wn30instances:synset-time_interval-noun-1	dul:TimeInterval
wn30instances:synset-absolute_space-noun-1	d0:Location	wn30instances:synset-space-noun-1	dul:SpaceRegion
wn30instances:synset-absolution-noun-1	dul:Situation	wn30instances:synset-condition-noun-1	dul:Situation
wn30instances:synset-absolutism-noun-1	dul:Situation	wn30instances:synset-dominance-noun-2	dul:Situation
wn30instances:synset-absorption-noun-2	dul:Process	wn30instances:synset-natural_process-noun-1	dul:Process
wn30instances:synset-abstainer-noun-2	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-absurd-noun-1	dul:Situation	wn30instances:synset-situation-noun-1	dul:Situation
wn30instances:synset-abulia-noun-1	dul:Situation	wn30instances:synset-psychological_state-noun-1	dul:Situation
wn30instances:synset-academic_freedom-noun-1	dul:Situation	wn30instances:synset-freedom-noun-1	dul:Situation
wn30instances:synset-academic_relation-noun-1	dul:Description	wn30instances:synset-professional_relation-noun-1	dul:SocialRelation
wn30instances:synset-acardia-noun-1	dul:Situation	wn30instances:synset-abnormality-noun-1	dul:Situation
wn30instances:synset-acathexia-noun-1	dul:Situation	wn30instances:synset-physical_condition-noun-1	dul:Situation
wn30instances:synset-acceleration-noun-1	d0:Event	wn30instances:synset-change-noun-1	dul:EventType
wn30instances:synset-acceptance-noun-3	dul:Situation	wn30instances:synset-situation-noun-1	dul:Situation
wn30instances:synset-acceptor-noun-1	dul:PhysicalObject	wn30instances:synset-compound-noun-2	dul:ChemicalObject
wn30instances:synset-access-noun-2	dul:Description	wn30instances:synset-right-noun-1	dul:Right
